iter	Passed	Remaining
919	2206	191
920	2208	189
921	2211	187
922	2213	184
923	2215	182
924	2217	179
925	2219	177
926	2221	174
927	2223	172
928	2225	170
929	2228	167
930	2230	165
931	2231	162
932	2234	160
933	2235	157
934	2237	155
935	2240	153
936	2241	150
937	2243	148
938	2245	145
939	2247	143
940	2249	141
941	2251	138
942	2253	136
943	2255	133
944	2257	131
945	2259	128
946	2261	126
947	2263	124
948	2265	121
949	2267	119
950	2269	116
951	2271	114
952	2273	112
953	2275	109
954	2277	107
955	2280	104
956	2283	102
957	2284	100
958	2287	97
959	2289	95
960	2291	92
961	2293	90
962	2294	88
963	2297	85
964	2299	83
965	2301	81
966	2303	78
967	2305	76
968	2306	73
969	2308	71
970	2310	69
971	2313	66
972	2314	64
973	2317	61
974	2320	59
975	2322	57
976	2324	54
977	2326	52
978	2327	49
979	2329	47
980	2331	45
981	2332	42
982	2334	40
983	2335	37
984	2337	35
985	2339	33
986	2341	30
987	2342	28
988	2343	26
989	2345	23
990	2346	21
991	2347	18
992	2349	16
993	2350	14
994	2351	11
995	2353	9
996	2354	7
997	2355	4
998	2356	2
999	2358	0
